"Election Name","County Name","Office Name","District Name","Party Name","Candidate Name","Votes","Yes Votes","No Votes","Election Day Votes","ElectionDay Yes Votes","Election Day No Votes","Mail Votes","Mail Yes Votes","Mail No Votes","Provisional Votes","Provisional Yes Votes","Provisional No Votes"
"2018 General Election","DELAWARE","United States Senator","Statewide","Green","GALE, NEAL TAYLOR","1,313","0","0","","","","","","","","",""
"2018 General Election","DELAWARE","United States Senator","Statewide","Libertarian","KERNS, DALE R JR","2,050","0","0","","","","","","","","",""
"2018 General Election","DELAWARE","Governor","Statewide","Democratic","WOLF, THOMAS W","167,211","0","0","","","","","","","","",""
"2018 General Election","DELAWARE","Governor","Statewide","Republican","WAGNER, SCOTT R","80,576","0","0","","","","","","","","",""
"2018 General Election","DELAWARE","Governor","Statewide","Green","GLOVER, PAUL","1,076","0","0","","","","","","","","",""
"2018 General Election","DELAWARE","Governor","Statewide","Libertarian","KRAWCHUK, KENNETH V","1,780","0","0","","","","","","","","",""
"2018 General Election","ELK","United States Senator","Statewide","Democratic","CASEY, ROBERT P JR","4,498","0","0","","","","","","","","",""
"2018 General Election","ELK","United States Senator","Statewide","Republican","BARLETTA, LOUIS J.","6,610","0","0","","","","","","","","",""
"2018 General Election","ELK","United States Senator","Statewide","Green","GALE, NEAL TAYLOR","63","0","0","","","","","","","","",""
"2018 General Election","ELK","United States Senator","Statewide","Libertarian","KERNS, DALE R JR","111","0","0","","","","","","","","",""
"2018 General Election","ELK","Governor","Statewide","Democratic","WOLF, THOMAS W","4,206","0","0","","","","","","","","",""
"2018 General Election","ELK","Governor","Statewide","Republican","WAGNER, SCOTT R","6,918","0","0","","","","","","","","",""
"2018 General Election","ELK","Governor","Statewide","Green","GLOVER, PAUL","76","0","0","","","","","","","","",""
"2018 General Election","ELK","Governor","Statewide","Libertarian","KRAWCHUK, KENNETH V","101","0","0","","","","","","","","",""
"2018 General Election","ERIE","United States Senator","Statewide","Democratic","CASEY, ROBERT P JR","58,906","0","0","","","","","","","","",""
"2018 General Election","ERIE","United States Senator","Statewide","Republican","BARLETTA, LOUIS J.","40,348","0","0","","","","","","","","",""
"2018 General Election","ERIE","United States Senator","Statewide","Green","GALE, NEAL TAYLOR","611","0","0","","","","","","","","",""
"2018 General Election","ERIE","United States Senator","Statewide","Libertarian","KERNS, DALE R JR","1,024","0","0","","","","","","","","",""
"2018 General Election","ERIE","Governor","Statewide","Democratic","WOLF, THOMAS W","60,790","0","0","","","","","","","","",""
"2018 General Election","ERIE","Governor","Statewide","Republican","WAGNER, SCOTT R","39,387","0","0","","","","","","","","",""
"2018 General Election","ERIE","Governor","Statewide","Green","GLOVER, PAUL","605","0","0","","","","","","","","",""
"2018 General Election","ERIE","Governor","Statewide","Libertarian","KRAWCHUK, KENNETH V","929","0","0","","","","","","","","",""
"2018 General Election","FAYETTE","United States Senator","Statewide","Democratic","CASEY, ROBERT P JR","19,563","0","0","","","","","","","","",""
"2018 General Election","FAYETTE","United States Senator","Statewide","Republican","BARLETTA, LOUIS J.","20,514","0","0","","","","","","","","",""
"2018 General Election","FAYETTE","United States Senator","Statewide","Green","GALE, NEAL TAYLOR","201","0","0","","","","","","","","",""
"2018 General Election","FAYETTE","United States Senator","Statewide","Libertarian","KERNS, DALE R JR","427","0","0","","","","","","","","",""
"2018 General Election","FAYETTE","Governor","Statewide","Democratic","WOLF, THOMAS W","19,791","0","0","","","","","","","","",""
"2018 General Election","FAYETTE","Governor","Statewide","Republican","WAGNER, SCOTT R","20,471","0","0","","","","","","","","",""
"2018 General Election","FAYETTE","Governor","Statewide","Green","GLOVER, PAUL","263","0","0","","","","","","","","",""
"2018 General Election","FAYETTE","Governor","Statewide","Libertarian","KRAWCHUK, KENNETH V","384","0","0","","","","","","","","",""
"2018 General Election","FOREST","United States Senator","Statewide","Democratic","CASEY, ROBERT P JR","693","0","0","","","","","","","","",""
"2018 General Election","FOREST","United States Senator","Statewide","Republican","BARLETTA, LOUIS J.","1,201","0","0","","","","","","","","",""
"2018 General Election","FOREST","United States Senator","Statewide","Green","GALE, NEAL TAYLOR","14","0","0","","","","","","","","",""
"2018 General Election","FOREST","United States Senator","Statewide","Libertarian","KERNS, DALE R JR","24","0","0","","","","","","","","",""
"2018 General Election","FOREST","Governor","Statewide","Democratic","WOLF, THOMAS W","746","0","0","","","","","","","","",""
"2018 General Election","FOREST","Governor","Statewide","Republican","WAGNER, SCOTT R","1,159","0","0","","","","","","","","",""
"2018 General Election","FOREST","Governor","Statewide","Green","GLOVER, PAUL","14","0","0","","","","","","","","",""
"2018 General Election","FOREST","Governor","Statewide","Libertarian","KRAWCHUK, KENNETH V","19","0","0","","","","","","","","",""
"2018 General Election","FRANKLIN","United States Senator","Statewide","Democratic","CASEY, ROBERT P JR","17,385","0","0","","","","","","","","",""
"2018 General Election","FRANKLIN","United States Senator","Statewide","Republican","BARLETTA, LOUIS J.","36,735","0","0","","","","","","","","",""
"2018 General Election","FRANKLIN","United States Senator","Statewide","Green","GALE, NEAL TAYLOR","335","0","0","","","","","","","","",""
"2018 General Election","FRANKLIN","United States Senator","Statewide","Libertarian","KERNS, DALE R JR","572","0","0","","","","","","","","",""
"2018 General Election","FRANKLIN","Governor","Statewide","Democratic","WOLF, THOMAS W","18,447","0","0","","","","","","","","",""
"2018 General Election","FRANKLIN","Governor","Statewide","Republican","WAGNER, SCOTT R","35,634","0","0","","","","","","","","",""
"2018 General Election","FRANKLIN","Governor","Statewide","Green","GLOVER, PAUL","316","0","0","","","","","","","","",""
"2018 General Election","FRANKLIN","Governor","Statewide","Libertarian","KRAWCHUK, KENNETH V","525","0","0","","","","","","","","",""
"2018 General Election","FULTON","United States Senator","Statewide","Democratic","CASEY, ROBERT P JR","1,061","0","0","","","","","","","","",""
"2018 General Election","FULTON","United States Senator","Statewide","Republican","BARLETTA, LOUIS J.","4,173","0","0","","","","","","","","",""
"2018 General Election","FULTON","United States Senator","Statewide","Green","GALE, NEAL TAYLOR","27","0","0","","","","","","","","",""
"2018 General Election","FULTON","United States Senator","Statewide","Libertarian","KERNS, DALE R JR","43","0","0","","","","","","","","",""
"2018 General Election","FULTON","Governor","Statewide","Democratic","WOLF, THOMAS W","1,037","0","0","","","","","","","","",""
